0 0.5 0.5
0.1 0.487966 0.525708
0.2 0.47685 0.552853
0.3 0.466638 0.58146
0.4 0.457316 0.611546
0.5 0.44887 0.643121
0.6 0.441294 0.676186
0.7 0.434579 0.710732
0.8 0.428722 0.746736
0.9 0.423721 0.784163
1 0.419577 0.822964
1.1 0.416294 0.863074
1.2 0.41388 0.90441
1.3 0.412342 0.946874
1.4 0.411694 0.990349
1.5 0.41195 1.0347
1.6 0.41313 1.07977
1.7 0.415253 1.12538
1.8 0.418345 1.17136
1.9 0.422431 1.21747
2 0.427542 1.26352
2.1 0.433708 1.30924
2.2 0.440965 1.3544
2.3 0.449348 1.39873
2.4 0.458895 1.44195
2.5 0.469642 1.48381
2.6 0.481629 1.52401
2.7 0.494892 1.56229
2.8 0.509467 1.59837
2.9 0.525387 1.63199
3 0.54268 1.6629
3.1 0.561368 1.69087
3.2 0.581466 1.71567
3.3 0.602982 1.73712
3.4 0.62591 1.75505
3.5 0.650233 1.76931
3.6 0.67592 1.77979
3.7 0.702922 1.78641
3.8 0.731173 1.78914
3.9 0.76059 1.78797
4 0.791067 1.78292
4.1 0.822479 1.77408
4.2 0.854682 1.76154
4.3 0.887509 1.74546
4.4 0.920778 1.726
4.5 0.954289 1.70339
4.6 0.987828 1.67786
4.7 1.02117 1.64968
4.8 1.05409 1.61913
4.9 1.08636 1.58652
5 1.11774 1.55216
5.1 1.148 1.51636
5.2 1.17695 1.47945
5.3 1.20437 1.44173
5.4 1.23009 1.40351
5.5 1.25395 1.36507
5.6 1.27583 1.32668
5.7 1.2956 1.28859
5.8 1.31319 1.25102
5.9 1.32855 1.21418
6 1.34164 1.17823
6.1 1.35247 1.14334
6.2 1.36104 1.10963
6.3 1.3674 1.0772
6.4 1.37162 1.04613
6.5 1.37376 1.01649
6.6 1.37391 0.988316
6.7 1.37219 0.961641
6.8 1.36869 0.936476
6.9 1.36353 0.912823
7 1.35684 0.890674
7.1 1.34874 0.87001
7.2 1.33935 0.850808
7.3 1.3288 0.833038
7.4 1.31721 0.816665
7.5 1.30469 0.801653
7.6 1.29137 0.787964
7.7 1.27734 0.775556
7.8 1.26273 0.764389
7.9 1.24763 0.754423
8 1.23212 0.745617
8.1 1.21631 0.737932
8.2 1.20027 0.731331
8.3 1.18409 0.725775
8.4 1.16783 0.721229
8.5 1.15155 0.71766
8.6 1.13533 0.715035
8.7 1.11922 0.713323
8.8 1.10326 0.712494
8.9 1.08751 0.71252
9 1.07201 0.713373
9.1 1.0568 0.715029
9.2 1.04191 0.717461
9.3 1.02737 0.720646
9.4 1.01322 0.724561
9.5 0.999472 0.729181
9.6 0.986158 0.734485
9.7 0.973295 0.740449
9.8 0.960901 0.747052
9.9 0.948994 0.754271
10 0.937586 0.762083
10.1 0.926691 0.770464
10.2 0.916319 0.779389
10.3 0.906479 0.788835
10.4 0.897179 0.798775
10.5 0.888427 0.809182
10.6 0.880228 0.820028
10.7 0.872587 0.831284
10.8 0.865508 0.842918
10.9 0.858992 0.854898
11 0.853044 0.867191
11.1 0.847664 0.87976
11.2 0.842852 0.89257
11.3 0.838609 0.905581
11.4 0.834933 0.918755
11.5 0.831825 0.932048
11.6 0.82928 0.945419
11.7 0.827297 0.958824
11.8 0.825872 0.972217
11.9 0.825001 0.985552
12 0.824679 0.998783
12.1 0.824899 1.01186
12.2 0.825655 1.02474
12.3 0.826939 1.03738
12.4 0.828743 1.04972
12.5 0.831056 1.06172
12.6 0.833868 1.07333
12.7 0.837167 1.08452
12.8 0.840939 1.09523
12.9 0.84517 1.10542
13 0.849843 1.11506
13.1 0.854942 1.12411
13.2 0.860447 1.13253
13.3 0.866338 1.1403
13.4 0.872594 1.14739
13.5 0.879191 1.15377
13.6 0.886105 1.15942
13.7 0.893308 1.16433
13.8 0.900775 1.16848
13.9 0.908475 1.17187
14 0.916379 1.1745
14.1 0.924455 1.17636
14.2 0.932671 1.17746
14.3 0.940995 1.17781
14.4 0.949392 1.17742
14.5 0.957827 1.17631
14.6 0.966267 1.1745
14.7 0.974677 1.17201
14.8 0.983021 1.16888
14.9 0.991266 1.16513
15 0.999379 1.1608
15.1 1.00733 1.15592
15.2 1.01507 1.15053
15.3 1.02259 1.14467
15.4 1.02986 1.13838
15.5 1.03684 1.13171
15.6 1.04351 1.12469
15.7 1.04984 1.11737
15.8 1.05582 1.10979
15.9 1.06143 1.102
16 1.06664 1.09403
16.1 1.07145 1.08593
16.2 1.07585 1.07774
16.3 1.07981 1.0695
16.4 1.08335 1.06123
16.5 1.08645 1.05299
16.6 1.08911 1.0448
16.7 1.09133 1.0367
16.8 1.09311 1.02871
16.9 1.09447 1.02086
17 1.0954 1.01318
17.1 1.09591 1.0057
17.2 1.09603 0.998435
17.3 1.09575 0.991405
17.4 1.09509 0.984628
17.5 1.09407 0.978122
17.6 1.0927 0.971901
17.7 1.091 0.965977
17.8 1.089 0.960362
17.9 1.08669 0.955063
18 1.08412 0.95009
18.1 1.08129 0.945448
18.2 1.07823 0.941142
18.3 1.07495 0.937175
18.4 1.07148 0.93355
18.5 1.06784 0.930268
18.6 1.06404 0.927327
18.7 1.06011 0.924729
18.8 1.05607 0.922469
18.9 1.05193 0.920545
19 1.04772 0.918954
19.1 1.04344 0.91769
19.2 1.03913 0.916749
19.3 1.0348 0.916123
19.4 1.03046 0.915806
19.5 1.02613 0.915791
19.6 1.02182 0.91607
19.7 1.01756 0.916634
19.8 1.01334 0.917474
19.9 1.0092 0.91858
20 1.00513 0.919943
20.1 1.00116 0.921551
20.2 0.997281 0.923394
