time,std
0,0.06024003946536625
1,0.0030337772093689866
2,0.003495487388642221
3,0.002220478528958013
4,0.0034040376069209353
5,0.0021489580102410414
6,0.0036732490022540597
7,0.002203492989942355
8,0.004091708667078888
9,0.002348183015302221
10,0.004574561958358538
11,0.002635980308209248
12,0.004963281660483236
13,0.0032343648713192255
14,0.004912904462652971
15,0.004525406774416275
16,0.003921470098609154
17,0.006858605003939727
18,0.0019557360093709394
19,0.006755402767262146
20,6.819391255399594e-05
21,0.001160889384835343
22,0.0010381428071270895
23,0.0023377958497944698
24,0.00038218488846957806
25,0.0005627413263652499
26,0.00014732818257120445
27,0.000255721763002983
28,5.3474149483772443e-05
29,8.620818230998927e-05
30,2.0245318465861745e-05
31,3.361156434148342e-05
32,7.705481661979297e-06
33,1.2599699778435789e-05
34,2.9961692478670006e-06
35,4.922275996460955e-06
36,1.1786395257840562e-06
37,1.9291853707484597e-06
38,4.697718160332689e-07
39,7.691820785008151e-07
40,1.89034883497669e-07
41,3.091648555324767e-07
42,7.671493586842894e-08
43,1.2543820424937144e-07
44,3.133917425654437e-08
45,5.1221868353222934e-08
46,1.2872242615145654e-08
47,2.1035326743093446e-08
48,5.309812237512984e-09
49,8.675788464495985e-09
50,2.197806366256928e-09
51,3.5908138415510303e-09
52,9.121590422914611e-10
53,1.4902585471963964e-09
54,3.7938429203948067e-10
55,6.198327336501202e-10
56,1.5805962342960252e-10
57,2.582435381334521e-10
58,6.593907118148593e-11
59,1.0773839586459772e-10
60,2.741373188595755e-11
61,4.514414626200012e-11
62,1.1458320101496516e-11
63,1.8870752175838707e-11
64,4.792542015878595e-12
65,7.892886316686259e-12
66,2.0056682054150107e-12
67,3.3032445046450345e-12
68,8.398332821337869e-13
69,1.3834544488680196e-12
70,3.5182960114431113e-13
71,5.791272098664909e-13
72,1.4763888223382186e-13
73,2.436075237136015e-13
74,6.210539538564489e-14
75,1.0300974817119892e-13
76,2.601754651254096e-14
77,4.3248717461525536e-14
78,1.1258883007923854e-14
79,1.9604437435354145e-14
80,4.995333653704255e-15
81,1.0045384887677737e-14
82,2.8371411123816732e-15
83,8.318285304134061e-15
84,2.2586430878224573e-15
85,7.569983886815346e-15
86,2.2696678426965124e-15
87,7.597986422191173e-15
88,2.2478898865598706e-15
89,7.509481434893842e-15
90,2.2170457892436508e-15
91,7.555169388934751e-15
92,2.1732360945106425e-15
93,7.459304600457577e-15
94,2.197380419279211e-15
95,7.436711127723197e-15
96,2.1550300637243684e-15
97,7.250686425371629e-15
98,2.174401332336123e-15
99,7.204867938891457e-15
100,2.1937984056199387e-15
101,7.696383234137041e-15
102,2.1980760467826205e-15
103,7.222047370161302e-15
104,2.2022968477111596e-15
105,7.505738267977162e-15
106,2.263253938806905e-15
107,7.81158398289679e-15
108,2.1910299986283433e-15
109,7.601913779209514e-15
110,2.2801619222562925e-15
111,7.237898859977897e-15
112,2.2296527306548442e-15
113,7.21817349297914e-15
114,2.1981024023540157e-15
115,7.904386106231538e-15
116,2.1596813338691046e-15
117,7.541386555296352e-15
118,2.2100574972737534e-15
119,7.573537152394718e-15
120,2.181330797664361e-15
121,8.055580696995571e-15
122,2.2569417446138136e-15
123,7.455609706005625e-15
124,2.2143443209589433e-15
125,7.689118541332518e-15
126,2.1709766393811365e-15
127,7.600521736013802e-15
128,2.2096622266725603e-15
129,7.552391722862945e-15
130,2.223400070866759e-15
131,7.67237069931568e-15
132,2.1888658749198876e-15
133,7.389924378105913e-15
134,2.186354142946585e-15
135,7.902843993000348e-15
136,2.212893728616363e-15
137,7.472025797559626e-15
138,2.208650662216691e-15
139,7.686538844105312e-15
140,2.2289610614029884e-15
141,7.590878122560897e-15
