time,std
0,0.49501510689271405
1,1.2701485124256398
2,1.001681987367536
3,0.7653566321089795
4,0.6074711104948202
5,0.5548447423250088
6,0.5167590086293574
7,0.5404910079313444
8,0.5044016877755819
9,0.5459757404804506
10,0.5278134477087445
11,0.5463229463516088
12,0.551235424441975
13,0.537625930065655
14,0.5384075741105692
15,0.525844709049076
16,0.5226479615478168
17,0.5133377830402652
18,0.5025250667611784
19,0.4937165296984839
20,0.47444094681587035
21,0.46264381275021865
22,0.427219595879696
23,0.421902656967711
24,0.38474790645184553
25,0.35863869095420475
26,0.33733890272568445
27,0.2621204834580304
28,0.28168436193741136
29,0.1414155441233439
30,0.19846378388986727
31,0.039640534859837484
32,0.08384359221016735
33,0.0042074569002125625
34,0.008253441582695953
35,0.002912292907138503
36,0.00226139231942309
37,0.002407666942389891
38,0.001043558928699832
39,0.0020268776086455665
40,0.0003247611112225442
41,0.0014968685562275967
42,0.001188573867756432
43,0.001556948136391763
44,0.0005664828852716887
45,0.0010813075481466005
46,0.0012254946999507577
47,0.0012932166547442103
48,0.0008631499201247913
49,0.0008089458628337829
50,0.0012024006699710786
51,0.0010896764243614916
52,0.0010950192984236016
53,0.0005871667117359152
54,0.0010736190269791466
55,0.0008749989600450204
56,0.001178935809953931
57,0.0003901646900944224
58,0.0008088343650689547
59,0.0006215192228592202
60,0.0010332278432480463
61,0.00022275129356789746
62,0.0004930988061739976
63,0.00035367976107412855
64,0.0006790918260519408
65,0.00010416008720458903
66,0.0002015434658435342
67,0.00015206312464912706
68,0.00031393614630035016
69,3.8072472996726995e-05
70,5.7395237376599146e-05
71,4.81231559702885e-05
72,0.0001025867027225856
73,1.0881469136203419e-05
74,1.2540550196357707e-05
75,1.1978856404922621e-05
76,2.5827926531746103e-05
77,2.5656071112056627e-06
78,2.419947389369095e-06
79,2.5776495574631667e-06
80,5.576122341898617e-06
81,5.37851004891386e-07
82,4.520733949699807e-07
83,5.150127541224633e-07
84,1.1150076017624267e-06
85,1.0622365647385029e-07
86,8.446745293097724e-08
87,9.950536906517656e-08
88,2.154666771185215e-07
89,2.0425440850840814e-08
90,1.5862894823551186e-08
91,1.8960239307181997e-08
92,4.1057561296697144e-08
93,3.884795535326624e-09
94,2.9891828695188307e-09
95,3.5934875563063396e-09
96,7.781702400317708e-09
97,7.35797193527717e-10
98,5.642238961600867e-10
99,6.797669600171638e-10
100,1.472082374898017e-09
101,1.3916307611046853e-10
102,1.065848466082428e-10
103,1.285163262179697e-10
104,2.783246228704491e-10
105,2.6310573904078084e-11
106,2.0143594991734904e-11
107,2.4296887043516375e-11
108,5.262231738181639e-11
109,4.974863234332831e-12
110,3.809151355750469e-12
111,4.594954668420253e-12
112,9.952505622761573e-12
113,9.41117230956575e-13
114,7.211998601439843e-13
115,8.697459101211293e-13
116,1.8845593622986884e-12
117,1.7815170018406202e-13
118,1.3626403868640992e-13
119,1.6466107004048843e-13
120,3.564602718674271e-13
121,3.397325521721732e-14
122,2.8370526962561068e-14
123,3.1984574173560686e-14
124,6.935239825387382e-14
125,6.460805333601068e-15
126,1.3042179713908946e-14
127,7.682414178577002e-15
128,1.5412856541215228e-14
129,1.602413737888758e-15
130,1.2963572698107596e-14
131,4.6431646802058535e-15
132,8.308129526200204e-15
133,1.0673457745022282e-15
134,1.2569608140895305e-14
135,4.5063590571558846e-15
136,8.409755211939847e-15
137,1.1049310418901374e-15
138,1.3433731333195746e-14
139,4.454478734327828e-15
140,8.64897379556096e-15
141,1.1011702983909776e-15
142,1.3205575709205429e-14
143,4.394189351561676e-15
144,7.951240174533444e-15
145,1.025967365411222e-15
146,1.314986065600658e-14
147,4.430143393736453e-15
148,8.565857289460463e-15
149,1.0089167928168843e-15
150,1.3253885291158481e-14
151,4.30538301498333e-15
152,8.332562922149474e-15
153,1.0173824037124222e-15
154,1.3367821026306105e-14
155,4.462232516864022e-15
156,8.163709632001725e-15
157,1.0635311372986258e-15
158,1.3661253155143842e-14
159,4.3474111400861964e-15
160,8.075199193086101e-15
161,1.0129428803183769e-15
162,1.3223025289625538e-14
163,4.381094383908211e-15
164,8.411751790087965e-15
165,1.0521472605550897e-15
166,1.3119977225078443e-14
167,4.398739231746434e-15
168,8.275501027388502e-15
169,1.0126633824490342e-15
170,1.361533875660087e-14
171,4.460088262304694e-15
172,8.756700469338246e-15
173,1.0443213552861797e-15
174,1.3420219605464398e-14
175,4.3339714788400276e-15
176,8.402861584982636e-15
177,1.0297005051958703e-15
178,1.2979675527611891e-14
179,4.382057679421283e-15
180,8.07896236420672e-15
181,1.0763906742787251e-15
182,1.3463477175841295e-14
183,4.411319493212697e-15
184,8.270034174569206e-15
185,1.0494781715869564e-15
186,1.3394444975016764e-14
187,4.4087420305329855e-15
188,8.864289917445964e-15
189,1.0487788794841477e-15
190,1.3324079445569242e-14
191,4.382242587326742e-15
192,8.253428118450643e-15
193,1.0433137055084476e-15
194,1.3775954673225955e-14
195,4.448284552383687e-15
196,8.727182745984892e-15
197,1.0416852101373786e-15
198,1.3624793065712039e-14
199,4.318709429698004e-15
200,7.880927166820263e-15
201,9.778373934800838e-16
202,1.3378277209285822e-14
203,4.3792988436506394e-15
204,8.341121081474019e-15
205,1.0396522454240173e-15
206,1.3415899905519746e-14
207,4.3699076505874076e-15
208,8.110835042298642e-15
209,1.078448913700894e-15
210,1.3702495437931853e-14
211,4.483362074012045e-15
212,8.426497479767047e-15
213,1.0598671149756963e-15
214,1.3085566515141933e-14
215,4.348936589696297e-15
216,8.210642356632987e-15
217,1.084174889324551e-15
218,1.3283516412421188e-14
219,4.426889271000879e-15
220,8.140554377304317e-15
221,1.0883212873598451e-15
222,1.3254983315872034e-14
223,4.4075616406789235e-15
224,8.175543165389325e-15
225,1.0493551278172148e-15
226,1.375595399011791e-14
227,4.460760021269171e-15
228,8.505406213248638e-15
229,1.0688753490649466e-15
230,1.331739486178809e-14
231,4.4343990115189586e-15
232,8.543932892818737e-15
233,1.0526062374379599e-15
234,1.3516925445676987e-14
235,4.4191562812549614e-15
236,8.208293294426572e-15
237,1.0507003877090024e-15
238,1.3506107790349007e-14
239,4.476472877846368e-15
240,8.391404570810972e-15
241,1.0742805193477091e-15
242,1.2771245373190708e-14
243,4.337054985685653e-15
244,8.087077394997548e-15
245,1.0191448345575442e-15
246,1.3705127205008188e-14
247,4.457570202935697e-15
248,8.495545685416592e-15
249,1.034712335299068e-15
250,1.278640327697656e-14
251,4.375010491371479e-15
252,8.055600870594537e-15
253,1.080943209056186e-15
254,1.3506763760484423e-14
255,4.448044500516196e-15
256,8.26133534769043e-15
257,9.907620080125306e-16
258,1.3130630772499919e-14
259,4.30968723022513e-15
260,8.008947006473313e-15
261,1.0596083376826102e-15
262,1.326644311787087e-14
263,4.431909422555582e-15
264,8.557874145021042e-15
265,1.0454330202429352e-15
266,1.3667335353618262e-14
267,4.3484411892451034e-15
268,8.251534741230146e-15
269,1.0254942649841073e-15
270,1.3560825265094233e-14
271,4.436518988529556e-15
272,8.475838503915248e-15
273,1.0669841042034095e-15
274,1.3138421941249131e-14
275,4.3446340270210875e-15
276,8.42408428843489e-15
277,1.0054462413720244e-15
278,1.3766024422963748e-14
279,4.4156682335027914e-15
280,7.871105592177509e-15
281,1.0737257062950209e-15
282,1.3235415942475705e-14
283,4.368750866635832e-15
284,8.374707139163572e-15
285,1.079011103531243e-15
286,1.3057155852429413e-14
287,4.408078398819777e-15
288,8.080362859451633e-15
289,1.0742836708759607e-15
290,1.3703539948039951e-14
291,4.479863862145117e-15
292,8.528125582242937e-15
293,1.05309895010488e-15
294,1.3100437922119692e-14
295,4.317417817935552e-15
296,7.707035101658547e-15
297,1.0686476189218438e-15
298,1.336481930432811e-14
